nu,B
1.5051983032e+21,3.7189730453e-07
1.5088252871e+21,3.6818198171e-07
1.5124522709e+21,3.6449753999e-07
1.5160792548e+21,3.6084382434e-07
1.5197062386e+21,3.5722067864e-07
1.5233332225e+21,3.5362794578e-07
1.5269602064e+21,3.5006546763e-07
1.5305871902e+21,3.4653308518e-07
1.5342141741e+21,3.4303063849e-07
1.5378411580e+21,3.3955796679e-07
1.5414681418e+21,3.3611490851e-07
1.5450951257e+21,3.3270130131e-07
1.5487221096e+21,3.2931698211e-07
1.5523490934e+21,3.2596178716e-07
1.5559760773e+21,3.2263555206e-07
1.5596030611e+21,3.1933811179e-07
1.5632300450e+21,3.1606930076e-07
1.5668570289e+21,3.1282895286e-07
1.5704840127e+21,3.0961690145e-07
1.5741109966e+21,3.0643297945e-07
1.5777379805e+21,3.0327701933e-07
1.5813649643e+21,3.0014885318e-07
1.5849919482e+21,2.9704831270e-07
1.5886189320e+21,2.9397522928e-07
1.5922459159e+21,2.9092943401e-07
1.5958728998e+21,2.8791075769e-07
1.5994998836e+21,2.8491903090e-07
1.6031268675e+21,2.8195408402e-07
1.6067538514e+21,2.7901574722e-07
1.6103808352e+21,2.7610385055e-07
1.6140078191e+21,2.7321822393e-07
1.6176348030e+21,2.7035869718e-07
1.6212617868e+21,2.6752510006e-07
1.6248887707e+21,2.6471726230e-07
1.6285157545e+21,2.6193501358e-07
1.6321427384e+21,2.5917818364e-07
1.6357697223e+21,2.5644660223e-07
1.6393967061e+21,2.5374009917e-07
1.6430236900e+21,2.5105850435e-07
1.6466506739e+21,2.4840164778e-07
1.6502776577e+21,2.4576935963e-07
1.6539046416e+21,2.4316147017e-07
1.6575316254e+21,2.4057780988e-07
1.6611586093e+21,2.3801820944e-07
1.6647855932e+21,2.3548249973e-07
1.6684125770e+21,2.3297051190e-07
1.6720395609e+21,2.3048207732e-07
1.6756665448e+21,2.2801702766e-07
1.6792935286e+21,2.2557519490e-07
1.6829205125e+21,2.2315641131e-07
1.6865474964e+21,2.2076050952e-07
1.6901744802e+21,2.1838732249e-07
1.6938014641e+21,2.1603668356e-07
1.6974284479e+21,2.1370842647e-07
1.7010554318e+21,2.1140238534e-07
1.7046824157e+21,2.0911839472e-07
1.7083093995e+21,2.0685628961e-07
1.7119363834e+21,2.0461590543e-07
1.7155633673e+21,2.0239707808e-07
1.7191903511e+21,2.0019964396e-07
1.7228173350e+21,1.9802343992e-07
1.7264443188e+21,1.9586830336e-07
1.7300713027e+21,1.9373407217e-07
1.7336982866e+21,1.9162058480e-07
1.7373252704e+21,1.8952768022e-07
1.7409522543e+21,1.8745519798e-07
1.7445792382e+21,1.8540297818e-07
1.7482062220e+21,1.8337086153e-07
1.7518332059e+21,1.8135868930e-07
1.7554601898e+21,1.7936630339e-07
1.7590871736e+21,1.7739354631e-07
1.7627141575e+21,1.7544026118e-07
1.7663411413e+21,1.7350629177e-07
1.7699681252e+21,1.7159148249e-07
1.7735951091e+21,1.6969567839e-07
1.7772220929e+21,1.6781872522e-07
1.7808490768e+21,1.6596046935e-07
1.7844760607e+21,1.6412075787e-07
1.7881030445e+21,1.6229943854e-07
1.7917300284e+21,1.6049635982e-07
1.7953570122e+21,1.5871137087e-07
1.7989839961e+21,1.5694432156e-07
1.8026109800e+21,1.5519506248e-07
1.8062379638e+21,1.5346344494e-07
1.8098649477e+21,1.5174932099e-07
1.8134919316e+21,1.5005254339e-07
1.8171189154e+21,1.4837296569e-07
1.8207458993e+21,1.4671044214e-07
1.8243728831e+21,1.4506482776e-07
1.8279998670e+21,1.4343597834e-07
1.8316268509e+21,1.4182375043e-07
1.8352538347e+21,1.4022800133e-07
1.8388808186e+21,1.3864858913e-07
1.8425078025e+21,1.3708537271e-07
1.8461347863e+21,1.3553821169e-07
1.8497617702e+21,1.3400696652e-07
1.8533887541e+21,1.3249149841e-07
1.8570157379e+21,1.3099166937e-07
1.8606427218e+21,1.2950734221e-07
1.8642697056e+21,1.2803838053e-07
1.8678966895e+21,1.2658464875e-07
1.8715236734e+21,1.2514601207e-07
1.8751506572e+21,1.2372233650e-07
1.8787776411e+21,1.2231348889e-07
1.8824046250e+21,1.2091933686e-07
1.8860316088e+21,1.1953974886e-07
1.8896585927e+21,1.1817459416e-07
1.8932855765e+21,1.1682374284e-07
1.8969125604e+21,1.1548706580e-07
1.9005395443e+21,1.1416443476e-07
1.9041665281e+21,1.1285572226e-07
1.9077935120e+21,1.1156080165e-07
1.9114204959e+21,1.1027954712e-07
1.9150474797e+21,1.0901183367e-07
1.9186744636e+21,1.0775753713e-07
1.9223014475e+21,1.0651653415e-07
1.9259284313e+21,1.0528870220e-07
1.9295554152e+21,1.0407391959e-07
1.9331823990e+21,1.0287206543e-07
1.9368093829e+21,1.0168301968e-07
1.9404363668e+21,1.0050666310e-07
