r,P,m,rho
2.610000e-02,1.499742e+02,1.682426e-05,8.641535e+00
2.620000e-02,1.499720e+02,1.692899e-05,8.641499e+00
2.630000e-02,1.499698e+02,1.703493e-05,8.641462e+00
2.640000e-02,1.499676e+02,1.714207e-05,8.641425e+00
2.650000e-02,1.499654e+02,1.725043e-05,8.641388e+00
2.660000e-02,1.499632e+02,1.736003e-05,8.641351e+00
2.670000e-02,1.499610e+02,1.747085e-05,8.641313e+00
2.680000e-02,1.499587e+02,1.758293e-05,8.641275e+00
2.690000e-02,1.499564e+02,1.769626e-05,8.641237e+00
2.700000e-02,1.499541e+02,1.781085e-05,8.641198e+00
2.710000e-02,1.499518e+02,1.792672e-05,8.641160e+00
2.720000e-02,1.499495e+02,1.804387e-05,8.641121e+00
2.730000e-02,1.499471e+02,1.816231e-05,8.641081e+00
2.740000e-02,1.499448e+02,1.828206e-05,8.641042e+00
2.750000e-02,1.499424e+02,1.840312e-05,8.641002e+00
2.760000e-02,1.499400e+02,1.852550e-05,8.640961e+00
2.770000e-02,1.499376e+02,1.864921e-05,8.640921e+00
2.780000e-02,1.499351e+02,1.877426e-05,8.640880e+00
2.790000e-02,1.499327e+02,1.890066e-05,8.640839e+00
2.800000e-02,1.499302e+02,1.902842e-05,8.640798e+00
2.810000e-02,1.499277e+02,1.915755e-05,8.640756e+00
2.820000e-02,1.499252e+02,1.928806e-05,8.640714e+00
2.830000e-02,1.499227e+02,1.941996e-05,8.640672e+00
2.840000e-02,1.499202e+02,1.955326e-05,8.640629e+00
2.850000e-02,1.499176e+02,1.968797e-05,8.640586e+00
2.860000e-02,1.499150e+02,1.982409e-05,8.640543e+00
2.870000e-02,1.499124e+02,1.996164e-05,8.640500e+00
2.880000e-02,1.499098e+02,2.010063e-05,8.640456e+00
2.890000e-02,1.499072e+02,2.024107e-05,8.640412e+00
2.900000e-02,1.499045e+02,2.038297e-05,8.640367e+00
2.910000e-02,1.499019e+02,2.052634e-05,8.640323e+00
2.920000e-02,1.498992e+02,2.067118e-05,8.640278e+00
2.930000e-02,1.498965e+02,2.081751e-05,8.640233e+00
2.940000e-02,1.498938e+02,2.096534e-05,8.640187e+00
2.950000e-02,1.498910e+02,2.111468e-05,8.640141e+00
2.960000e-02,1.498883e+02,2.126554e-05,8.640095e+00
2.970000e-02,1.498855e+02,2.141793e-05,8.640048e+00
2.980000e-02,1.498827e+02,2.157185e-05,8.640001e+00
2.990000e-02,1.498799e+02,2.172733e-05,8.639954e+00
3.000000e-02,1.498771e+02,2.188437e-05,8.639907e+00
3.010000e-02,1.498742e+02,2.204297e-05,8.639859e+00
3.020000e-02,1.498713e+02,2.220316e-05,8.639811e+00
3.030000e-02,1.498685e+02,2.236494e-05,8.639763e+00
3.040000e-02,1.498656e+02,2.252832e-05,8.639714e+00
3.050000e-02,1.498626e+02,2.269331e-05,8.639665e+00
3.060000e-02,1.498597e+02,2.285993e-05,8.639615e+00
3.070000e-02,1.498567e+02,2.302818e-05,8.639566e+00
3.080000e-02,1.498537e+02,2.319807e-05,8.639516e+00
3.090000e-02,1.498507e+02,2.336961e-05,8.639465e+00
3.100000e-02,1.498477e+02,2.354283e-05,8.639415e+00
3.110000e-02,1.498447e+02,2.371771e-05,8.639364e+00
