r,P,m
5.5790353695e-02,9.4838150930e+02,1.4641306564e-06
5.5990319120e-02,9.4838051048e+02,1.4798733380e-06
5.6190284546e-02,9.4837950810e+02,1.4957284575e-06
5.6390249971e-02,9.4837850216e+02,1.5116964148e-06
5.6590215397e-02,9.4837749267e+02,1.5277776100e-06
5.6790180822e-02,9.4837647961e+02,1.5439724430e-06
5.6990146248e-02,9.4837546299e+02,1.5602813139e-06
5.7190111673e-02,9.4837444281e+02,1.5767046226e-06
5.7390077098e-02,9.4837341908e+02,1.5932427692e-06
5.7590042524e-02,9.4837239178e+02,1.6098961536e-06
5.7790007949e-02,9.4837136092e+02,1.6266651758e-06
5.7989973375e-02,9.4837032650e+02,1.6435502358e-06
5.8189938800e-02,9.4836928853e+02,1.6605517336e-06
5.8389904226e-02,9.4836824699e+02,1.6776700692e-06
5.8589869651e-02,9.4836720189e+02,1.6949056425e-06
5.8789835076e-02,9.4836615324e+02,1.7122588536e-06
5.8989800502e-02,9.4836510102e+02,1.7297301025e-06
5.9189765927e-02,9.4836404525e+02,1.7473197890e-06
5.9389731353e-02,9.4836298591e+02,1.7650283132e-06
5.9589696778e-02,9.4836192302e+02,1.7828560751e-06
5.9789662204e-02,9.4836085656e+02,1.8008034746e-06
5.9989627629e-02,9.4835978655e+02,1.8188709118e-06
6.0189593054e-02,9.4835871297e+02,1.8370587865e-06
6.0389558480e-02,9.4835763584e+02,1.8553674988e-06
6.0589523905e-02,9.4835655514e+02,1.8737974486e-06
6.0789489331e-02,9.4835547089e+02,1.8923490360e-06
6.0989454756e-02,9.4835438308e+02,1.9110226607e-06
6.1189420182e-02,9.4835329171e+02,1.9298187230e-06
6.1389385607e-02,9.4835219677e+02,1.9487376226e-06
6.1589351032e-02,9.4835109828e+02,1.9677797595e-06
6.1789316458e-02,9.4834999623e+02,1.9869455338e-06
6.1989281883e-02,9.4834889062e+02,2.0062353453e-06
6.2189247309e-02,9.4834778145e+02,2.0256495941e-06
6.2389212734e-02,9.4834666872e+02,2.0451886801e-06
6.2589178160e-02,9.4834555243e+02,2.0648530032e-06
6.2789143585e-02,9.4834443258e+02,2.0846429634e-06
6.2989109010e-02,9.4834330917e+02,2.1045589606e-06
6.3189074436e-02,9.4834218220e+02,2.1246013949e-06
6.3389039861e-02,9.4834105167e+02,2.1447706661e-06
6.3589005287e-02,9.4833991758e+02,2.1650671741e-06
6.3788970712e-02,9.4833877993e+02,2.1854913190e-06
6.3988936138e-02,9.4833763873e+02,2.2060435007e-06
6.4188901563e-02,9.4833649396e+02,2.2267241191e-06
6.4388866988e-02,9.4833534564e+02,2.2475335741e-06
6.4588832414e-02,9.4833419375e+02,2.2684722657e-06
6.4788797839e-02,9.4833303831e+02,2.2895405939e-06
6.4988763265e-02,9.4833187930e+02,2.3107389585e-06
6.5188728690e-02,9.4833071674e+02,2.3320677596e-06
6.5388694116e-02,9.4832955061e+02,2.3535273969e-06
6.5588659541e-02,9.4832838093e+02,2.3751182705e-06
6.5788624966e-02,9.4832720769e+02,2.3968407803e-06
6.5988590392e-02,9.4832603089e+02,2.4186953262e-06
6.6188555817e-02,9.4832485053e+02,2.4406823082e-06
6.6388521243e-02,9.4832366661e+02,2.4628021261e-06
6.6588486668e-02,9.4832247913e+02,2.4850551799e-06
6.6788452094e-02,9.4832128809e+02,2.5074418695e-06
6.6988417519e-02,9.4832009349e+02,2.5299625948e-06
6.7188382944e-02,9.4831889533e+02,2.5526177557e-06
6.7388348370e-02,9.4831769362e+02,2.5754077522e-06
6.7588313795e-02,9.4831648834e+02,2.5983329842e-06
6.7788279221e-02,9.4831527951e+02,2.6213938515e-06
6.7988244646e-02,9.4831406711e+02,2.6445907542e-06
6.8188210072e-02,9.4831285116e+02,2.6679240920e-06
6.8388175497e-02,9.4831163164e+02,2.6913942649e-06
6.8588140922e-02,9.4831040857e+02,2.7150016728e-06
6.8788106348e-02,9.4830918194e+02,2.7387467156e-06
6.8988071773e-02,9.4830795175e+02,2.7626297933e-06
6.9188037199e-02,9.4830671800e+02,2.7866513056e-06
6.9388002624e-02,9.4830548069e+02,2.8108116526e-06
6.9587968050e-02,9.4830423982e+02,2.8351112340e-06
6.9787933475e-02,9.4830299539e+02,2.8595504498e-06
6.9987898901e-02,9.4830174741e+02,2.8841296999e-06
7.0187864326e-02,9.4830049586e+02,2.9088493842e-06
7.0387829751e-02,9.4829924076e+02,2.9337099026e-06
7.0587795177e-02,9.4829798209e+02,2.9587116549e-06
7.0787760602e-02,9.4829671987e+02,2.9838550410e-06
7.0987726028e-02,9.4829545409e+02,3.0091404609e-06
7.1187691453e-02,9.4829418474e+02,3.0345683143e-06
7.1387656879e-02,9.4829291184e+02,3.0601390012e-06
7.1587622304e-02,9.4829163538e+02,3.0858529215e-06
7.1787587729e-02,9.4829035537e+02,3.1117104750e-06
7.1987553155e-02,9.4828907179e+02,3.1377120617e-06
7.2187518580e-02,9.4828778465e+02,3.1638580813e-06
7.2387484006e-02,9.4828649396e+02,3.1901489337e-06
7.2587449431e-02,9.4828519970e+02,3.2165850189e-06
7.2787414857e-02,9.4828390189e+02,3.2431667367e-06
7.2987380282e-02,9.4828260052e+02,3.2698944869e-06
7.3187345707e-02,9.4828129558e+02,3.2967686694e-06
7.3387311133e-02,9.4827998709e+02,3.3237896841e-06
7.3587276558e-02,9.4827867504e+02,3.3509579308e-06
7.3787241984e-02,9.4827735944e+02,3.3782738094e-06
7.3987207409e-02,9.4827604027e+02,3.4057377198e-06
7.4187172835e-02,9.4827471754e+02,3.4333500617e-06
7.4387138260e-02,9.4827339126e+02,3.4611112351e-06
7.4587103685e-02,9.4827206141e+02,3.4890216399e-06
7.4787069111e-02,9.4827072801e+02,3.5170816757e-06
7.4987034536e-02,9.4826939105e+02,3.5452917426e-06
7.5186999962e-02,9.4826805053e+02,3.5736522403e-06
7.5386965387e-02,9.4826670645e+02,3.6021635687e-06
7.5586930813e-02,9.4826535881e+02,3.6308261276e-06
7.5786896238e-02,9.4826400762e+02,3.6596403169e-06
7.5986861663e-02,9.4826265286e+02,3.6886065363e-06
7.6186827089e-02,9.4826129455e+02,3.7177251858e-06
7.6386792514e-02,9.4825993267e+02,3.7469966652e-06
7.6586757940e-02,9.4825856724e+02,3.7764213743e-06
7.6786723365e-02,9.4825719825e+02,3.8059997129e-06
7.6986688791e-02,9.4825582570e+02,3.8357320808e-06
7.7186654216e-02,9.4825444959e+02,3.8656188780e-06
7.7386619641e-02,9.4825306993e+02,3.8956605041e-06
7.7586585067e-02,9.4825168670e+02,3.9258573590e-06
7.7786550492e-02,9.4825029992e+02,3.9562098426e-06
7.7986515918e-02,9.4824890958e+02,3.9867183547e-06
7.8186481343e-02,9.4824751567e+02,4.0173832950e-06
7.8386446769e-02,9.4824611821e+02,4.0482050634e-06
