r,Phi
9.9982712715e-02,-4.7615060348e-01
1.0018267814e-01,-4.7615033420e-01
1.0038264357e-01,-4.7615006439e-01
1.0058260899e-01,-4.7614979403e-01
1.0078257442e-01,-4.7614952315e-01
1.0098253984e-01,-4.7614925172e-01
1.0118250527e-01,-4.7614897976e-01
1.0138247069e-01,-4.7614870726e-01
1.0158243612e-01,-4.7614843423e-01
1.0178240154e-01,-4.7614816065e-01
1.0198236697e-01,-4.7614788655e-01
1.0218233239e-01,-4.7614761190e-01
1.0238229782e-01,-4.7614733672e-01
1.0258226325e-01,-4.7614706100e-01
1.0278222867e-01,-4.7614678475e-01
1.0298219410e-01,-4.7614650796e-01
1.0318215952e-01,-4.7614623063e-01
1.0338212495e-01,-4.7614595277e-01
1.0358209037e-01,-4.7614567436e-01
1.0378205580e-01,-4.7614539543e-01
1.0398202122e-01,-4.7614511595e-01
1.0418198665e-01,-4.7614483594e-01
1.0438195207e-01,-4.7614455540e-01
1.0458191750e-01,-4.7614427431e-01
1.0478188293e-01,-4.7614399269e-01
1.0498184835e-01,-4.7614371054e-01
1.0518181378e-01,-4.7614342784e-01
1.0538177920e-01,-4.7614314462e-01
1.0558174463e-01,-4.7614286085e-01
1.0578171005e-01,-4.7614257655e-01
1.0598167548e-01,-4.7614229171e-01
1.0618164090e-01,-4.7614200633e-01
1.0638160633e-01,-4.7614172042e-01
1.0658157175e-01,-4.7614143397e-01
1.0678153718e-01,-4.7614114699e-01
1.0698150261e-01,-4.7614085946e-01
1.0718146803e-01,-4.7614057141e-01
1.0738143346e-01,-4.7614028281e-01
1.0758139888e-01,-4.7613999368e-01
1.0778136431e-01,-4.7613970401e-01
1.0798132973e-01,-4.7613941381e-01
1.0818129516e-01,-4.7613912307e-01
1.0838126058e-01,-4.7613883179e-01
1.0858122601e-01,-4.7613853997e-01
1.0878119143e-01,-4.7613824762e-01
1.0898115686e-01,-4.7613795474e-01
1.0918112228e-01,-4.7613766131e-01
1.0938108771e-01,-4.7613736735e-01
1.0958105314e-01,-4.7613707286e-01
1.0978101856e-01,-4.7613677782e-01
1.0998098399e-01,-4.7613648225e-01
1.1018094941e-01,-4.7613618615e-01
1.1038091484e-01,-4.7613588950e-01
1.1058088026e-01,-4.7613559233e-01
1.1078084569e-01,-4.7613529461e-01
1.1098081111e-01,-4.7613499636e-01
1.1118077654e-01,-4.7613469757e-01
1.1138074196e-01,-4.7613439824e-01
1.1158070739e-01,-4.7613409838e-01
1.1178067282e-01,-4.7613379798e-01
1.1198063824e-01,-4.7613349705e-01
1.1218060367e-01,-4.7613319558e-01
1.1238056909e-01,-4.7613289357e-01
1.1258053452e-01,-4.7613259102e-01
1.1278049994e-01,-4.7613228794e-01
1.1298046537e-01,-4.7613198433e-01
1.1318043079e-01,-4.7613168017e-01
1.1338039622e-01,-4.7613137548e-01
1.1358036164e-01,-4.7613107025e-01
1.1378032707e-01,-4.7613076449e-01
1.1398029250e-01,-4.7613045819e-01
1.1418025792e-01,-4.7613015135e-01
1.1438022335e-01,-4.7612984398e-01
1.1458018877e-01,-4.7612953607e-01
1.1478015420e-01,-4.7612922763e-01
1.1498011962e-01,-4.7612891864e-01
