P,rho
6.390000e+00,3.461180e+00
6.400000e+00,3.462738e+00
6.410000e+00,3.464295e+00
6.420000e+00,3.465850e+00
6.430000e+00,3.467404e+00
6.440000e+00,3.468955e+00
6.450000e+00,3.470505e+00
6.460000e+00,3.472054e+00
6.470000e+00,3.473600e+00
6.480000e+00,3.475145e+00
6.490000e+00,3.476689e+00
6.500000e+00,3.478230e+00
6.510000e+00,3.479770e+00
6.520000e+00,3.481308e+00
6.530000e+00,3.482845e+00
6.540000e+00,3.484380e+00
6.550000e+00,3.485913e+00
6.560000e+00,3.487445e+00
6.570000e+00,3.488975e+00
6.580000e+00,3.490503e+00
6.590000e+00,3.492030e+00
6.600000e+00,3.493555e+00
6.610000e+00,3.495079e+00
6.620000e+00,3.496601e+00
6.630000e+00,3.498121e+00
6.640000e+00,3.499640e+00
6.650000e+00,3.501157e+00
6.660000e+00,3.502672e+00
6.670000e+00,3.504186e+00
6.680000e+00,3.505698e+00
6.690000e+00,3.507209e+00
6.700000e+00,3.508718e+00
6.710000e+00,3.510226e+00
6.720000e+00,3.511732e+00
6.730000e+00,3.513236e+00
6.740000e+00,3.514739e+00
6.750000e+00,3.516240e+00
6.760000e+00,3.517740e+00
6.770000e+00,3.519238e+00
6.780000e+00,3.520734e+00
6.790000e+00,3.522229e+00
6.800000e+00,3.523723e+00
6.810000e+00,3.525215e+00
6.820000e+00,3.526705e+00
6.830000e+00,3.528194e+00
6.840000e+00,3.529681e+00
6.850000e+00,3.531167e+00
6.860000e+00,3.532651e+00
6.870000e+00,3.534134e+00
6.880000e+00,3.535615e+00
6.890000e+00,3.537095e+00
6.900000e+00,3.538573e+00
6.910000e+00,3.540049e+00
6.920000e+00,3.541525e+00
6.930000e+00,3.542998e+00
6.940000e+00,3.544470e+00
6.950000e+00,3.545941e+00
6.960000e+00,3.547410e+00
6.970000e+00,3.548878e+00
6.980000e+00,3.550344e+00
6.990000e+00,3.551809e+00
7.000000e+00,3.553272e+00
7.010000e+00,3.554734e+00
7.020000e+00,3.556194e+00
7.030000e+00,3.557653e+00
7.040000e+00,3.559111e+00
7.050000e+00,3.560567e+00
7.060000e+00,3.562021e+00
7.070000e+00,3.563474e+00
7.080000e+00,3.564926e+00
7.090000e+00,3.566376e+00
7.100000e+00,3.567825e+00
7.110000e+00,3.569272e+00
7.120000e+00,3.570718e+00
7.130000e+00,3.572162e+00
7.140000e+00,3.573605e+00
7.150000e+00,3.575047e+00
7.160000e+00,3.576487e+00
7.170000e+00,3.577926e+00
7.180000e+00,3.579363e+00
7.190000e+00,3.580799e+00
7.200000e+00,3.582234e+00
7.210000e+00,3.583667e+00
7.220000e+00,3.585099e+00
7.230000e+00,3.586529e+00
7.240000e+00,3.587958e+00
7.250000e+00,3.589386e+00
7.260000e+00,3.590812e+00
7.270000e+00,3.592237e+00
7.280000e+00,3.593660e+00
7.290000e+00,3.595082e+00
7.300000e+00,3.596503e+00
7.310000e+00,3.597922e+00
7.320000e+00,3.599340e+00
7.330000e+00,3.600757e+00
7.340000e+00,3.602172e+00
7.350000e+00,3.603586e+00
7.360000e+00,3.604998e+00
7.370000e+00,3.606410e+00
7.380000e+00,3.607819e+00
7.390000e+00,3.609228e+00
7.400000e+00,3.610635e+00
7.410000e+00,3.612041e+00
7.420000e+00,3.613445e+00
7.430000e+00,3.614848e+00
7.440000e+00,3.616250e+00
7.450000e+00,3.617651e+00
7.460000e+00,3.619050e+00
7.470000e+00,3.620448e+00
7.480000e+00,3.621844e+00
7.490000e+00,3.623239e+00
7.500000e+00,3.624633e+00
7.510000e+00,3.626026e+00
7.520000e+00,3.627417e+00
7.530000e+00,3.628807e+00
7.540000e+00,3.630196e+00
7.550000e+00,3.631583e+00
7.560000e+00,3.632969e+00
7.570000e+00,3.634354e+00
7.580000e+00,3.635738e+00
7.590000e+00,3.637120e+00
7.600000e+00,3.638501e+00
7.610000e+00,3.639881e+00
7.620000e+00,3.641259e+00
7.630000e+00,3.642636e+00
7.640000e+00,3.644012e+00
7.650000e+00,3.645387e+00
7.660000e+00,3.646760e+00
7.670000e+00,3.648132e+00
7.680000e+00,3.649503e+00
