r,Pot
1.40363e+02,4.30200e+15
1.40564e+02,4.30189e+15
1.40764e+02,4.30178e+15
1.40965e+02,4.30167e+15
1.41165e+02,4.30156e+15
1.41366e+02,4.30145e+15
1.41567e+02,4.30134e+15
1.41767e+02,4.30124e+15
1.41968e+02,4.30113e+15
1.42168e+02,4.30102e+15
1.42369e+02,4.30092e+15
1.42570e+02,4.30081e+15
1.42770e+02,4.30070e+15
1.42971e+02,4.30060e+15
1.43172e+02,4.30049e+15
1.43372e+02,4.30039e+15
1.43573e+02,4.30028e+15
1.43773e+02,4.30018e+15
1.43974e+02,4.30007e+15
1.44175e+02,4.29997e+15
1.44375e+02,4.29986e+15
1.44576e+02,4.29976e+15
1.44776e+02,4.29966e+15
1.44977e+02,4.29955e+15
1.45178e+02,4.29945e+15
1.45378e+02,4.29935e+15
1.45579e+02,4.29925e+15
1.45780e+02,4.29914e+15
1.45980e+02,4.29904e+15
1.46181e+02,4.29894e+15
1.46381e+02,4.29884e+15
1.46582e+02,4.29874e+15
1.46783e+02,4.29864e+15
1.46983e+02,4.29854e+15
1.47184e+02,4.29844e+15
1.47384e+02,4.29834e+15
1.47585e+02,4.29824e+15
1.47786e+02,4.29814e+15
1.47986e+02,4.29804e+15
1.48187e+02,4.29794e+15
1.48388e+02,4.29784e+15
1.48588e+02,4.29775e+15
1.48789e+02,4.29765e+15
1.48989e+02,4.29755e+15
1.49190e+02,4.29745e+15
1.49391e+02,4.29736e+15
1.49591e+02,4.29726e+15
1.49792e+02,4.29716e+15
1.49992e+02,4.29707e+15
1.50193e+02,4.29697e+15
1.50394e+02,4.29688e+15
1.50594e+02,4.29678e+15
1.50795e+02,4.29669e+15
1.50996e+02,4.29659e+15
1.51196e+02,4.29650e+15
1.51397e+02,4.29640e+15
1.51597e+02,4.29631e+15
1.51798e+02,4.29622e+15
1.51999e+02,4.29612e+15
1.52199e+02,4.29603e+15
1.52400e+02,4.29594e+15
1.52600e+02,4.29584e+15
1.52801e+02,4.29575e+15
1.53002e+02,4.29566e+15
1.53202e+02,4.29557e+15
1.53403e+02,4.29547e+15
1.53604e+02,4.29538e+15
1.53804e+02,4.29529e+15
1.54005e+02,4.29520e+15
1.54205e+02,4.29511e+15
1.54406e+02,4.29502e+15
1.54607e+02,4.29493e+15
1.54807e+02,4.29484e+15
1.55008e+02,4.29475e+15
1.55208e+02,4.29466e+15
1.55409e+02,4.29457e+15
1.55610e+02,4.29448e+15
1.55810e+02,4.29439e+15
1.56011e+02,4.29430e+15
1.56211e+02,4.29422e+15
1.56412e+02,4.29413e+15
1.56613e+02,4.29404e+15
1.56813e+02,4.29395e+15
1.57014e+02,4.29386e+15
1.57215e+02,4.29378e+15
1.57415e+02,4.29369e+15
1.57616e+02,4.29360e+15
1.57816e+02,4.29352e+15
1.58017e+02,4.29343e+15
1.58218e+02,4.29334e+15
1.58418e+02,4.29326e+15
1.58619e+02,4.29317e+15
1.58819e+02,4.29309e+15
1.59020e+02,4.29300e+15
1.59221e+02,4.29292e+15
1.59421e+02,4.29283e+15
1.59622e+02,4.29275e+15
1.59823e+02,4.29266e+15
1.60023e+02,4.29258e+15
1.60224e+02,4.29250e+15
1.60424e+02,4.29241e+15
1.60625e+02,4.29233e+15
1.60826e+02,4.29224e+15
1.61026e+02,4.29216e+15
1.61227e+02,4.29208e+15
1.61427e+02,4.29200e+15
1.61628e+02,4.29191e+15
1.61829e+02,4.29183e+15
1.62029e+02,4.29175e+15
1.62230e+02,4.29167e+15
1.62431e+02,4.29159e+15
1.62631e+02,4.29150e+15
1.62832e+02,4.29142e+15
1.63032e+02,4.29134e+15
1.63233e+02,4.29126e+15
1.63434e+02,4.29118e+15
1.63634e+02,4.29110e+15
1.63835e+02,4.29102e+15
1.64035e+02,4.29094e+15
1.64236e+02,4.29086e+15
1.64437e+02,4.29078e+15
1.64637e+02,4.29070e+15
1.64838e+02,4.29062e+15
1.65039e+02,4.29054e+15
1.65239e+02,4.29047e+15
1.65440e+02,4.29039e+15
1.65640e+02,4.29031e+15
1.65841e+02,4.29023e+15
1.66042e+02,4.29015e+15
1.66242e+02,4.29007e+15
1.66443e+02,4.29000e+15
1.66643e+02,4.28992e+15
1.66844e+02,4.28984e+15
1.67045e+02,4.28976e+15
1.67245e+02,4.28969e+15
1.67446e+02,4.28961e+15
1.67647e+02,4.28953e+15
1.67847e+02,4.28946e+15
1.68048e+02,4.28938e+15
1.68248e+02,4.28931e+15
1.68449e+02,4.28923e+15
1.68650e+02,4.28915e+15
1.68850e+02,4.28908e+15
1.69051e+02,4.28900e+15
1.69251e+02,4.28893e+15
1.69452e+02,4.28885e+15
1.69653e+02,4.28878e+15
1.69853e+02,4.28871e+15
1.70054e+02,4.28863e+15
1.70255e+02,4.28856e+15
1.70455e+02,4.28848e+15
1.70656e+02,4.28841e+15
1.70856e+02,4.28834e+15
1.71057e+02,4.28826e+15
1.71258e+02,4.28819e+15
1.71458e+02,4.28812e+15
1.71659e+02,4.28804e+15
1.71859e+02,4.28797e+15
1.72060e+02,4.28790e+15
1.72261e+02,4.28783e+15
1.72461e+02,4.28775e+15
1.72662e+02,4.28768e+15
1.72862e+02,4.28761e+15
1.73063e+02,4.28754e+15
1.73264e+02,4.28747e+15
1.73464e+02,4.28740e+15
1.73665e+02,4.28732e+15
1.73866e+02,4.28725e+15
1.74066e+02,4.28718e+15
1.74267e+02,4.28711e+15
1.74467e+02,4.28704e+15
1.74668e+02,4.28697e+15
1.74869e+02,4.28690e+15
1.75069e+02,4.28683e+15
1.75270e+02,4.28676e+15
1.75470e+02,4.28669e+15
1.75671e+02,4.28662e+15
1.75872e+02,4.28655e+15
1.76072e+02,4.28648e+15
1.76273e+02,4.28641e+15
1.76474e+02,4.28634e+15
1.76674e+02,4.28628e+15
1.76875e+02,4.28621e+15
1.77075e+02,4.28614e+15
1.77276e+02,4.28607e+15
1.77477e+02,4.28600e+15
1.77677e+02,4.28593e+15
1.77878e+02,4.28587e+15
1.78078e+02,4.28580e+15
1.78279e+02,4.28573e+15
1.78480e+02,4.28566e+15
1.78680e+02,4.28560e+15
1.78881e+02,4.28553e+15
1.79082e+02,4.28546e+15
1.79282e+02,4.28540e+15
1.79483e+02,4.28533e+15
1.79683e+02,4.28526e+15
1.79884e+02,4.28520e+15
1.80085e+02,4.28513e+15
1.80285e+02,4.28507e+15
1.80486e+02,4.28500e+15
1.80686e+02,4.28493e+15
1.80887e+02,4.28487e+15
1.81088e+02,4.28480e+15
1.81288e+02,4.28474e+15
1.81489e+02,4.28467e+15
1.81690e+02,4.28461e+15
1.81890e+02,4.28454e+15
1.82091e+02,4.28448e+15
1.82291e+02,4.28441e+15
1.82492e+02,4.28435e+15
1.82693e+02,4.28429e+15
1.82893e+02,4.28422e+15
1.83094e+02,4.28416e+15
1.83294e+02,4.28409e+15
1.83495e+02,4.28403e+15
