r,Pot
1.36688e+02,5.54698e+15
1.36889e+02,5.54689e+15
1.37089e+02,5.54681e+15
1.37290e+02,5.54672e+15
1.37491e+02,5.54663e+15
1.37691e+02,5.54654e+15
1.37892e+02,5.54645e+15
1.38092e+02,5.54637e+15
1.38293e+02,5.54628e+15
1.38494e+02,5.54619e+15
1.38694e+02,5.54610e+15
1.38895e+02,5.54602e+15
1.39095e+02,5.54593e+15
1.39296e+02,5.54585e+15
1.39497e+02,5.54576e+15
1.39697e+02,5.54567e+15
1.39898e+02,5.54559e+15
1.40099e+02,5.54550e+15
1.40299e+02,5.54542e+15
1.40500e+02,5.54533e+15
1.40700e+02,5.54525e+15
1.40901e+02,5.54517e+15
1.41102e+02,5.54508e+15
1.41302e+02,5.54500e+15
1.41503e+02,5.54492e+15
1.41703e+02,5.54483e+15
1.41904e+02,5.54475e+15
1.42105e+02,5.54467e+15
1.42305e+02,5.54458e+15
1.42506e+02,5.54450e+15
1.42707e+02,5.54442e+15
1.42907e+02,5.54434e+15
1.43108e+02,5.54426e+15
1.43308e+02,5.54418e+15
1.43509e+02,5.54410e+15
1.43710e+02,5.54401e+15
1.43910e+02,5.54393e+15
1.44111e+02,5.54385e+15
1.44311e+02,5.54377e+15
1.44512e+02,5.54369e+15
1.44713e+02,5.54361e+15
1.44913e+02,5.54353e+15
1.45114e+02,5.54346e+15
1.45315e+02,5.54338e+15
1.45515e+02,5.54330e+15
1.45716e+02,5.54322e+15
1.45916e+02,5.54314e+15
1.46117e+02,5.54306e+15
1.46318e+02,5.54299e+15
1.46518e+02,5.54291e+15
1.46719e+02,5.54283e+15
1.46919e+02,5.54275e+15
1.47120e+02,5.54268e+15
1.47321e+02,5.54260e+15
1.47521e+02,5.54252e+15
1.47722e+02,5.54245e+15
1.47923e+02,5.54237e+15
1.48123e+02,5.54229e+15
1.48324e+02,5.54222e+15
1.48524e+02,5.54214e+15
1.48725e+02,5.54207e+15
1.48926e+02,5.54199e+15
1.49126e+02,5.54192e+15
1.49327e+02,5.54184e+15
1.49527e+02,5.54177e+15
1.49728e+02,5.54169e+15
1.49929e+02,5.54162e+15
1.50129e+02,5.54155e+15
1.50330e+02,5.54147e+15
1.50530e+02,5.54140e+15
1.50731e+02,5.54133e+15
1.50932e+02,5.54125e+15
1.51132e+02,5.54118e+15
1.51333e+02,5.54111e+15
1.51534e+02,5.54103e+15
1.51734e+02,5.54096e+15
1.51935e+02,5.54089e+15
1.52135e+02,5.54082e+15
1.52336e+02,5.54075e+15
1.52537e+02,5.54067e+15
1.52737e+02,5.54060e+15
1.52938e+02,5.54053e+15
1.53138e+02,5.54046e+15
1.53339e+02,5.54039e+15
1.53540e+02,5.54032e+15
1.53740e+02,5.54025e+15
1.53941e+02,5.54018e+15
1.54142e+02,5.54011e+15
1.54342e+02,5.54004e+15
1.54543e+02,5.53997e+15
1.54743e+02,5.53990e+15
1.54944e+02,5.53983e+15
1.55145e+02,5.53976e+15
1.55345e+02,5.53969e+15
1.55546e+02,5.53962e+15
1.55746e+02,5.53956e+15
1.55947e+02,5.53949e+15
1.56148e+02,5.53942e+15
1.56348e+02,5.53935e+15
1.56549e+02,5.53928e+15
1.56750e+02,5.53922e+15
1.56950e+02,5.53915e+15
1.57151e+02,5.53908e+15
1.57351e+02,5.53901e+15
1.57552e+02,5.53895e+15
1.57753e+02,5.53888e+15
1.57953e+02,5.53881e+15
1.58154e+02,5.53875e+15
1.58354e+02,5.53868e+15
1.58555e+02,5.53861e+15
1.58756e+02,5.53855e+15
1.58956e+02,5.53848e+15
1.59157e+02,5.53842e+15
1.59358e+02,5.53835e+15
1.59558e+02,5.53829e+15
1.59759e+02,5.53822e+15
1.59959e+02,5.53816e+15
1.60160e+02,5.53809e+15
1.60361e+02,5.53803e+15
1.60561e+02,5.53796e+15
1.60762e+02,5.53790e+15
1.60962e+02,5.53783e+15
1.61163e+02,5.53777e+15
1.61364e+02,5.53771e+15
1.61564e+02,5.53764e+15
1.61765e+02,5.53758e+15
1.61966e+02,5.53751e+15
