P,Teff
1.0890480e+02,9.4642393e-03
1.1144150e+02,9.4593782e-03
1.1403730e+02,9.4545018e-03
1.1669360e+02,9.4496110e-03
1.1941170e+02,9.4446916e-03
1.2219320e+02,9.4397575e-03
1.2503940e+02,9.4348096e-03
1.2795200e+02,9.4298485e-03
1.3093240e+02,9.4248744e-03
1.3398220e+02,9.4198889e-03
1.3710300e+02,9.4148761e-03
1.4029650e+02,9.4098517e-03
1.4356450e+02,9.4048165e-03
1.4690850e+02,9.3997709e-03
1.5033050e+02,9.3947150e-03
1.5383210e+02,9.3896496e-03
1.5741530e+02,9.3845599e-03
1.6108200e+02,9.3794614e-03
1.6483410e+02,9.3743704e-03
1.6867360e+02,9.3692561e-03
1.7260250e+02,9.3641350e-03
1.7662290e+02,9.3590069e-03
1.8073700e+02,9.3538555e-03
1.8494690e+02,9.3487160e-03
1.8925480e+02,9.3435705e-03
1.9366310e+02,9.3384040e-03
1.9817410e+02,9.3332497e-03
2.0279020e+02,9.3280924e-03
2.0751380e+02,9.3229146e-03
2.1234740e+02,9.3177334e-03
2.1729360e+02,9.3125683e-03
2.2235500e+02,9.3073826e-03
2.2753440e+02,9.3022149e-03
2.3283430e+02,9.2970277e-03
2.3825770e+02,9.2918591e-03
2.4380750e+02,9.2866716e-03
2.4948650e+02,9.2815036e-03
2.5529780e+02,9.2763176e-03
2.6124440e+02,9.2711533e-03
2.6732960e+02,9.2659908e-03
2.7355650e+02,9.2608101e-03
2.7992840e+02,9.2556532e-03
2.8644880e+02,9.2504991e-03
2.9312100e+02,9.2453707e-03
2.9994870e+02,9.2402247e-03
3.0693540e+02,9.2350840e-03
3.1408480e+02,9.2299695e-03
3.2140080e+02,9.2248613e-03
3.2888720e+02,9.2197587e-03
3.3654800e+02,9.2146621e-03
3.4438720e+02,9.2095730e-03
3.5240900e+02,9.2045130e-03
3.6061770e+02,9.1994602e-03
3.6901750e+02,9.1944160e-03
3.7761300e+02,9.1893799e-03
3.8640880e+02,9.1843755e-03
3.9540940e+02,9.1793803e-03
4.0461970e+02,9.1743942e-03
4.1404450e+02,9.1694422e-03
4.2368880e+02,9.1644997e-03
4.3355780e+02,9.1595678e-03
4.4365660e+02,9.1546710e-03
4.5399070e+02,9.1497853e-03
4.6456550e+02,9.1449361e-03
4.7538670e+02,9.1400984e-03
4.8645980e+02,9.1352718e-03
4.9779090e+02,9.1304837e-03
5.0938600e+02,9.1257073e-03
5.2125110e+02,9.1209690e-03
5.3339260e+02,9.1162439e-03
5.4581690e+02,9.1115589e-03
5.5853060e+02,9.1068855e-03
5.7154050e+02,9.1022534e-03
5.8485340e+02,9.0976341e-03
